ID,Latitude,Longitude,SpSIC (%),Group,IP25,IPSO25,HBI_III,HBI_IV,I,II,III,IV
PS2149-1,73.18,31.73,0,Mar,1.27,3.24,0.04,0,27.91208791,71.20879121,0.87912088,0
PS2150-1,78.67,32.13,81.00433333,Ext,3.6,7.76,0.1,0,31.41361257,67.71378709,0.87260035,0
PS2151-1,77.99,32.94,77.32633333,Ext,2.53,5.37,0.26,0.1,30.62953995,65.01210654,3.14769976,1.21065375
PS2153-1,76.61,34.81,40.971,Int,3.34,6.41,1.2,0.59,28.94280763,55.54592721,10.39861352,5.11265165
R1 MC85,70.46,21.68,0,Mar,0,0,2.82,2.29,0,0,55.18590998,44.81409002
R100 MC010,70.16,18.02,0,Mar,0,4.22,2.48,1.65,0,50.53892216,29.7005988,19.76047904
R111 MC004,69.8,17.5,0,Mar,0,0,2.53,1.57,0,0,61.70731707,38.29268293
R178 MC010,68.86,15.44,0,Mar,0,0,8.98,11.15,0,0,44.61003477,55.38996523
R209 MC003,69.8,16.42,0,Mar,0,0,3.02,2.8,0,0,51.89003436,48.10996564
R223 MC006,69.26,16.33,0,Mar,0,7.43,3.36,2.17,0,57.33024691,25.92592593,16.74382716
R229 MC007,69.14,13.68,0,Mar,0,0,1.57,1.83,0,0,46.17647059,53.82352941
R232 MC009,69.41,14.7,0,Mar,0,0,1.55,1.76,0,0,46.82779456,53.17220544
R248 MC010,68.78,12.53,0,Mar,0,1.81,2.34,2.63,0,26.69616519,34.51327434,38.79056047
R276 BX049,68.48,10.97,0,Mar,0,0,0.51,0.41,0,0,55.43478261,44.56521739
R280 BMC018,68.14,12.31,0,Mar,0,2.02,0.93,0.64,0,56.26740947,25.90529248,17.82729805
R35 MC114,70.23,22.71,0,Mar,0,0,3.2,2.07,0,0,60.72106262,39.27893738
R35 MC118,70.43,22.75,0,Mar,0,0,2.41,0.98,0,0,71.09144543,28.90855457
R367 MC026,72.42,15.5,0,Mar,0,1.73,0.83,0.97,0,49.00849858,23.51274788,27.47875354
R405 MC031,72.14,15.35,0,Mar,0,1.65,1.19,1.35,0,39.37947494,28.40095465,32.21957041
R421 MC033,72.15,16.55,0,Mar,0,0,0.5,0.39,0,0,56.17977528,43.82022472
R431 MC035,71.86,16.75,0,Mar,0,1.76,0.71,0.69,0,55.69620253,22.46835443,21.83544304
R81 MC002 (Pb-210 only),71.16,18.65,0,Mar,0,0,0.36,0.29,0,0,55.38461538,44.61538462
R87 MC006,71.31,20.32,0,Mar,0,0,0.47,0.27,0,0,63.51351351,36.48648649
04GC,78.58,9.42,7.246666667,Mar,2.14,9.76,1.76,1.41,14.20039814,64.76443265,11.67883212,9.35633709
10BC,78.6,9.12,7.246666667,Mar,2.69,14.22,6.54,8.48,8.42467899,44.53492014,20.48230504,26.55809583
12GC,79.46,7.4,26.07333333,Int,1.66,7.78,1.69,1.56,13.08116627,61.30811663,13.31757289,12.29314421
13GC,79.39,6.77,9.137666667,Mar,1.11,5.79,0.79,0.64,13.32533013,69.50780312,9.48379352,7.68307323
15GC,79.63,7.92,13.26,Int,0.9,4,0.66,0.55,14.7299509,65.46644845,10.80196399,9.00163666
26GC,79.01,6.9,0,Mar,1.09,5.68,0.35,0.45,14.3989432,75.0330251,4.62351387,5.94451783
28GC,78.74,7.49,0,Mar,2.04,10,8.86,11.6,6.27692308,30.76923077,27.26153846,35.69230769
33GC,78.68,8.27,0,Mar,1.6,6.4,1.49,1.21,14.95327103,59.81308411,13.92523364,11.30841121
GC14,80.39,16.44,48.789,Int,7.95,33.79,4.36,3.97,15.87777112,67.48552027,8.70780907,7.92889954
GC15,80.51,15.9,54.69766667,Ext,11.64,54.86,4.51,3.93,15.53242594,73.20523085,6.01814785,5.24419536
GC17,80.15,17.18,47.44666667,Int,12.87,62.25,4.6,4.36,15.30685062,74.03663178,5.47098002,5.18553758
 921GC 0-2 cm,76.1089028,16.0028083,23.5537,Int,11.77,87.03,23.7,13.77,8.63726425,63.86585455,17.39194247,10.10493872
 1070GC 1-2 cm,76.1117167,16.0027,23.5537,Int,3.13,22.61,17.14,12,5.70335277,41.19897959,31.23177843,21.86588921
 914GC 1-2 cm,76.1057141,16.0349521,23.5537,Int,10.18,78.66,20.91,11.38,8.40419384,64.93849583,17.26244531,9.39486502
 932MC 3-4 cm,76.1068333,15.9668333,23.5537,Int,7.87,56.93,33.76,18.71,6.71100878,48.54609022,28.78826639,15.9546346
 1036GC 0-1 cm,76.10785,16.0777167,23.5537,Int,11.23,81.27,20.67,11.49,9.00850313,65.19332585,16.58110059,9.21707043
 914GC 2-3 cm,76.1057141,16.0349521,23.5537,Int,9,72.25,23.29,12.16,7.71208226,61.9108826,19.9571551,10.41988003
 1048 1-2 cm,76.1122833,15.9974167,23.5537,Int,12.11,75.89,13.9,8.05,11.01409732,69.02228286,12.64211005,7.32150978
 1069 1-2 cm,76.1119833,16.0055667,23.5537,Int,4.66,30.89,13.1,8.09,8.21290095,54.44131124,23.08776877,14.25801903
 1081GC 1-2 cm,76.1170333,16.0432167,23.5537,Int,6.22,45.21,11.03,6.17,9.06309194,65.87498179,16.07168877,8.99023751
 1082GC 2-3 cm,76.11375,15.9457,23.5537,Int,8.67,55.66,13.24,7.64,10.17486211,65.32097172,15.53808238,8.96608379
